cluster,mean,p90,p95,max,count
0,0.613,1.988,2.62,3.515,101
1,3.003,4.224,4.58,5.89,43
2,-1.968,-0.856,-0.628,-0.253,128
3,0.647,1.758,1.974,3.593,94
