cluster,daily_peak_mw,daily_min_mw,daily_range_mw,daily_max_ramp_mw,daily_ramp_std,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z
0,27742.416,20959.317,6783.099,2215.851,995.499,0.332,-0.42,-0.257,1.291,0.613
1,38326.279,24931.837,13394.442,3451.628,1501.212,0.166,2.036,1.68,-0.712,3.003
2,26410.445,19872.25,6538.195,1936.25,894.373,0.18,-0.729,-0.695,-0.544,-1.968
3,31767.894,22343.0,9424.894,2669.117,1187.711,0.198,0.514,0.454,-0.32,0.647
