balancing_authority,date,daily_peak_mw,daily_min_mw,daily_max_ramp_mw,daily_ramp_std,hours_observed,daily_range_mw,pct_hours_near_peak,z_daily_peak_mw,z_daily_max_ramp_mw,z_pct_hours_near_peak,fragility_z,fragility_01
CISO,2025-01-01,24569.0,19914.0,1591.0,795.8660670636089,15,4655.0,0.2,-1.1568159794175243,-1.2357312716222026,-0.2978381238723989,-2.6903853749121263,0.09979664366432524
CISO,2025-01-02,27210.0,19711.0,1802.0,985.2757687976042,24,7499.0,0.16666666666666666,-0.5439367593218939,-0.9051235391890435,-0.7003319823485763,-2.149392280859514,0.15655400382241944
CISO,2025-01-03,27142.0,21211.0,1820.0,916.4902452100716,24,5931.0,0.2916666666666667,-0.5597170648752838,-0.8769200359483,0.8090199869370883,-0.6276171138864955,0.3162084285850611
CISO,2025-01-04,26605.0,20251.0,2384.0,945.4845998868456,24,6354.0,0.2916666666666667,-0.6843350660836721,0.006789732261660693,0.8090199869370883,0.1314746531150769,0.39584723596799304
CISO,2025-01-05,25739.0,20118.0,2377.0,860.0637225717976,24,5621.0,0.16666666666666666,-0.8853018985724325,-0.004178296776406196,-0.7003319823485763,-1.589812177697415,0.2152613880785778
CISO,2025-01-06,26516.0,20041.0,2395.0,1031.011722581974,24,6475.0,0.25,-0.7049887012932561,0.024025206464337232,0.30590266384186665,-0.3750608309870522,0.34270493670373814
CISO,2025-01-07,26893.0,20645.0,2074.0,928.797366982187,24,6248.0,0.2916666666666667,-0.6175008307987264,-0.4789372679955873,0.8090199869370883,-0.2874181118572253,0.35189982186876484
CISO,2025-01-08,26817.0,20468.0,2027.0,884.8106558688872,24,6349.0,0.16666666666666666,-0.6351376428878094,-0.5525797486797507,-0.7003319823485763,-1.8880493739161364,0.18397234549298064
CISO,2025-01-09,26503.0,20511.0,2263.0,981.1432070567596,24,5992.0,0.2916666666666667,-0.7080055244137571,-0.18280048396778126,0.8090199869370883,-0.08178602144445002,0.373473359024647
CISO,2025-01-10,26183.0,20371.0,1751.0,924.3930078548922,24,5812.0,0.3333333333333333,-0.7822657858414745,-0.9850334650378165,1.3121373100323093,-0.4551619408469818,0.33430126650653413
CISO,2025-01-11,25838.0,20314.0,1703.0,805.9769647785371,24,5524.0,0.20833333333333334,-0.8623276301932324,-1.0602428070131324,-0.19721465925335463,-2.1197850964597196,0.15966019066051393
CISO,2025-01-12,24674.0,19865.0,2102.0,781.957826015359,24,4809.0,0.20833333333333334,-1.1324493311365547,-0.4350651518433197,-0.19721465925335463,-1.764729142233229,0.19691027553562496
CISO,2025-01-13,26986.0,20577.0,2558.0,1061.4132421692195,24,6409.0,0.125,-0.595918942321296,0.2794235969221805,-1.2034493054437976,-1.519944650842913,0.22259141951267714
CISO,2025-01-14,28320.0,21715.0,2601.0,1135.6694053237527,24,6605.0,0.16666666666666666,-0.286346477494499,0.34679863244173426,-0.7003319823485763,-0.6398798274013411,0.3149219070839014
CISO,2025-01-15,27956.0,21645.0,2453.0,1134.8678879889085,24,6311.0,0.25,-0.3708175248685276,0.11490316135117717,0.30590266384186665,0.04998830032451623,0.38729823539081826
CISO,2025-01-16,27504.0,21314.0,2516.0,1108.5935043878865,24,6190.0,0.20833333333333334,-0.4757101441351785,0.21361542269377917,-0.19721465925335463,-0.45930938069475397,0.3338661449869401
CISO,2025-01-17,28219.0,21415.0,2300.0,1043.5226156032088,24,6804.0,0.20833333333333334,-0.3097848725076223,-0.12482661619514197,-0.19721465925335463,-0.6318261479561189,0.3157668450136005
CISO,2025-01-18,26564.0,20686.0,1901.0,823.5050915869101,24,5878.0,0.20833333333333334,-0.6938496620790985,-0.7500042713649546,-0.19721465925335463,-1.6410685926974076,0.20988390944058918
CISO,2025-01-19,24935.0,20442.0,2122.0,761.6460613868405,24,4493.0,0.20833333333333334,-1.0718808054095725,-0.40372792602027147,-0.19721465925335463,-1.6728233906831986,0.20655240941620662
CISO,2025-01-20,25421.0,20649.0,2199.0,923.5396845361023,24,4772.0,0.3333333333333333,-0.9590980333662267,-0.28307960660153564,1.3121373100323093,0.06995967006454706,0.38939349730385686
CISO,2025-01-21,27734.0,21784.0,2507.0,1121.3663435511498,24,5950.0,0.25,-0.42233558123400655,0.19951367107340745,0.30590266384186665,0.08308075368126755,0.39077007322818147
CISO,2025-01-22,27698.0,21776.0,2506.0,1129.0095409155147,24,5922.0,0.25,-0.4306898606446248,0.19794680978225504,0.30590266384186665,0.07315961297949691,0.38972921381208186
CISO,2025-01-23,27028.0,21048.0,2439.0,1072.6010644588514,24,5980.0,0.3333333333333333,-0.5861722830089081,0.09296710327504339,1.3121373100323093,0.8189321302984445,0.46797065501865587
CISO,2025-01-24,27048.0,21221.0,2600.0,1101.8520105989141,24,5827.0,0.25,-0.5815310166696758,0.34523177115058185,0.30590266384186665,0.06960341832277273,0.3893561217649875
CISO,2025-01-25,26205.0,20325.0,1674.0,732.7289620890236,24,5880.0,0.20833333333333334,-0.777160392868319,-1.1056817844565523,-0.19721465925335463,-2.080056836578226,0.16382821272833167
CISO,2025-01-26,26060.0,20159.0,1754.0,716.5221547087052,24,5901.0,0.125,-0.8108095738277534,-0.9803328811643593,-1.2034493054437976,-2.9945917604359105,0.06788135384754557
CISO,2025-01-27,27467.0,21090.0,2656.0,1120.7601845641857,24,6377.0,0.25,-0.4842964868627583,0.43297600345511694,0.30590266384186665,0.2545821804342253,0.40876285049808503
CISO,2025-01-28,28266.0,22294.0,2417.0,1214.321650409056,24,5972.0,0.20833333333333334,-0.2988778966104263,0.058496154869690314,-0.19721465925335463,-0.4375964009940906,0.3361441249140852
CISO,2025-01-29,28140.0,21880.0,2978.0,1206.9697586055777,24,6260.0,0.25,-0.32811787454759006,0.9375053392061938,0.30590266384186665,0.9152901285004704,0.47807988870054374
CISO,2025-01-30,27828.0,21744.0,3062.0,1102.9373224797685,24,6084.0,0.375,-0.40052162943961456,1.0691216876629965,1.8152546331275308,2.4838546913509125,0.6426431424715208
CISO,2025-01-31,28863.0,22061.0,2583.0,1128.2520524424408,24,6802.0,0.25,-0.16033609638434096,0.3185951292009908,0.30590266384186665,0.4641616966585165,0.4307505250448962
CISO,2025-02-01,27452.0,20701.0,1863.0,749.3090428299038,24,6751.0,0.25,-0.48777743661718254,-0.8095450004287463,0.30590266384186665,-0.9914197732040622,0.27804069818635946
CISO,2025-02-02,24963.0,19366.0,1810.0,804.618352910608,24,5597.0,0.16666666666666666,-1.0653830325346472,-0.8925886488598243,-0.7003319823485763,-2.6583036637430477,0.1031624412231648
CISO,2025-02-03,26144.0,19958.0,2504.0,1013.8092179669618,24,6186.0,0.3333333333333333,-0.7913162552029775,0.19481308719995022,1.3121373100323093,0.715634142029282,0.4571333242130444
CISO,2025-02-04,27640.0,20782.0,2125.0,1015.9116809439001,24,6858.0,0.3333333333333333,-0.44414953302839855,-0.3990273421468142,1.3121373100323093,0.4689604348570966,0.4312539764109773
CISO,2025-02-05,27566.0,21077.0,2582.0,1052.7459848869773,24,6489.0,0.3333333333333333,-0.4613222184835582,0.3170282679098384,1.3121373100323093,1.1678433594585895,0.5045760766300449
CISO,2025-02-06,28858.0,21370.0,2456.0,1036.2740495627115,24,7488.0,0.25,-0.16149641296914904,0.1196037452246344,0.30590266384186665,0.264009996097352,0.4097519535660886
CISO,2025-02-07,27999.0,20785.0,2136.0,883.6002430357031,24,7214.0,0.25,-0.360838802239178,-0.38179186794413766,0.30590266384186665,-0.436728006341449,0.3362352310457552
CISO,2025-02-08,26112.0,19656.0,1949.0,921.6479530034027,24,6456.0,0.25,-0.7987422813457493,-0.6747949293896388,0.30590266384186665,-1.1676345468935214,0.259553428227795
CISO,2025-02-09,25141.0,18872.0,2760.0,971.7735467108356,24,6269.0,0.20833333333333334,-1.0240757621154795,0.5959295777349679,-0.19721465925335463,-0.6253608436338662,0.31644514129868034
CISO,2025-02-10,25841.0,19330.0,2389.0,932.5872341370335,24,6511.0,0.16666666666666666,-0.8616314402423475,0.014624038717422756,-0.7003319823485763,-1.547339383873501,0.21971734820539957
CISO,2025-02-11,27284.0,21521.0,2948.0,1120.112064139961,24,5763.0,0.3333333333333333,-0.5267640738667342,0.8904995004716215,1.3121373100323093,1.6758727366371966,0.5578751051174848
CISO,2025-02-12,28286.0,22821.0,2356.0,981.301782534709,24,5465.0,0.4583333333333333,-0.29423663027119396,-0.03708238389060686,2.8214892793179733,2.4901702651561726,0.6433057300368905
CISO,2025-02-13,28538.0,22589.0,1745.0,839.5613718492826,24,5949.0,0.4166666666666667,-0.23575667439686648,-0.994434632784731,2.3183719562227525,1.088180649041155,0.49621840035646825
CISO,2025-02-14,28029.0,21132.0,1917.0,877.4707683309811,24,6897.0,0.25,-0.35387690273032957,-0.724934490706516,0.30590266384186665,-0.772908729594979,0.3009654085698817
CISO,2025-02-15,26374.0,19282.0,2815.0,962.8770708783071,24,7092.0,0.20833333333333334,-0.7379416923018057,0.6821069487483505,-0.19721465925335463,-0.2530494028068098,0.35550555587754956
CISO,2025-02-16,24855.0,19278.0,2589.0,837.9886536795424,24,5577.0,0.125,-1.090445870766502,0.3279962969479053,-1.2034493054437976,-1.9658988792623941,0.17580489851141654
CISO,2025-02-17,24132.0,19646.0,2131.0,801.2170226544769,24,4486.0,0.3333333333333333,-1.258227648929751,-0.3896261743998997,1.3121373100323093,-0.3357165132973414,0.346832678136741
CISO,2025-02-18,26191.0,20391.0,2671.0,1034.2271181341448,24,5800.0,0.20833333333333334,-0.7804092793057816,0.45647892282240315,-0.19721465925335463,-0.5211450157367331,0.3273787656705218
CISO,2025-02-19,26181.0,20133.0,2429.0,968.5426514891448,24,6048.0,0.25,-0.7827299124753978,0.07729849036351927,0.30590266384186665,-0.39952875827001183,0.34013792618846905
CISO,2025-02-20,26177.0,20165.0,2026.0,956.6463008487183,24,6012.0,0.25,-0.7836581657432442,-0.554146609970903,0.30590266384186665,-1.0319021118722806,0.273793563239364
CISO,2025-02-21,25688.0,19919.0,2275.0,994.6722777967581,24,5769.0,0.3333333333333333,-0.8971371277374749,-0.1639981484739523,1.3121373100323093,0.25100203382088204,0.4083872455726503
CISO,2025-02-22,25136.0,18369.0,2022.0,815.0834935448487,24,6767.0,0.16666666666666666,-1.0252360787002874,-0.5604140551355127,-0.7003319823485763,-2.2859821161843765,0.1422239161324016
